
structure codes,predicted log10 cmc,observed log10 cmc,∆,ref
C4E1,-0.184,-0.009,-0.175,[26] Donbrow; 1966
C4E6,0.056,-0.110,0.166,[24] Elworthy; 1964
C6E3,-0.996,-1.000,0.004,[27] Corkill; 1964
C6E6,-0.877,-1.164,0.287,[24] Elworthy; 1964
C8E1,-2.272,-2.310,0.038,[28] Shinoda; 1959
C8E3,-2.088,-2.125,0.037,[27] Corkill; 1964
C8E6,-1.952,-2.004,0.052,[27] Corkill; 1964
C8E9,-1.880,-1.886,0.006,[27] Corkill; 1964
C10E3,-3.129,-3.222,0.093,[27] Corkill; 1964
C10E4,-3.070,-3.167,0.097,[30] Hudson; 1964
C10E6,-2.985,-3.046,0.061,[27] Corkill; 1964
C10E8,-2.926,-3.000,0.074,[2] Meguro; 1981
C10E9,-2.903,-2.886,-0.017,[27] Corkill; 1964
C11E8,-3.423,-3.523,0.100,[2] Meguro; 1981
C12E2,-4.198,-4.481,0.283,[31] Rosen; 1982
C12E3,-4.123,-4.284,0.162,[31] Rosen; 1982
C12E4,-4.063,-4.194,0.131,[31] Rosen; 1982
C12E5,-4.014,-4.194,0.180,[31] Rosen; 1982
C12E6,-3.974,-4.060,0.086,[27] Corkill; 1964
C12E7,-3.940,-4.086,0.146,[31] Rosen; 1982
C12E8,-3.912,-4.000,0.088,[31] Rosen; 1982
C12E9,-3.887,-4.000,0.113,[32] Lange; 1965
C12E12,-3.829,-3.854,0.025,[32] Lange; 1965
C13E8,-4.392,-4.569,0.177,[2] Meguro; 1981
C14E6,-4.930,-5.000,0.070,[27] Corkill; 1964
C14E8,-4.865,-5.046,0.181,[2] Meguro; 1981
C15E8,-5.333,-5.456,0.123,[2] Meguro; 1981
C16E6,-5.861,-5.780,-0.081,[33] Elworthy; 1962
C16E7,-5.825,-5.770,-0.055,[33] Elworthy; 1962
C16E9,-5.768,-5.678,-0.090,[33] Elworthy; 1962
C16E12,-5.703,-5.638,-0.065,[33] Elworthy; 1962
C8PHE1,-4.119,-4.305,0.186,[34] Crook; 1963
C8PHE2,-4.019,-4.116,0.097,[34] Crook; 1963
C8PHE3,-3.943,-4.013,0.070,[34] Crook; 1963
C8PHE4,-3.883,-3.886,0.003,[34] Crook; 1963
C8PHE5,-3.835,-3.824,-0.011,[34] Crook; 1963
C8PHE6,-3.795,-3.678,-0.117,[34] Crook; 1963
C8PHE7,-3.762,-3.602,-0.160,[34] Crook; 1963
C8PHE8,-3.734,-3.553,-0.181,[29] Crook; 1964
C8PHE9,-3.710,-3.523,-0.187,[29] Crook; 1964
C8PHE10,-3.689,-3.481,-0.208,[29] Crook; 1964
IC4E6,-0.422,-0.049,-0.373,[24] Elworthy; 1964
IC6E6,-0.789,-1.016,0.227,[24] Elworthy; 1964
IC8E6,-1.612,-1.670,0.058,[24] Elworthy; 1964
IC10E6,-2.474,-2.547,0.073,[24] Elworthy; 1964
IC10E9,-2.393,-2.526,0.133,[24] Elworthy; 1964
C8GLYCER,-2.121,-2.237,0.116,[28] Shinoda; 1959
C10DIOL,-2.774,-2.638,-0.136,[35] Kwan; 1980
C11DIOL,-2.810,-2.638,-0.172,[35] Kwan; 1980
C12DIOL,-3.759,-3.745,-0.014,[35] Kwan; 1980
C15DIOL,-4.721,-4.886,0.165,[35] Kwan; 1980
C8GLUC,-1.775,-1.602,-0.173,[36] Shinoda; 1961
C10GLUC,-2.851,-2.658,-0.193,[36] Shinoda; 1961
C12GLUC,-3.872,-3.721,-0.151,[36] Shinoda; 1961
C12DELAC,-3.151,-3.222,0.071,[23] Auvray; 1995
C12MALT,-3.603,-3.620,0.017,[23] Auvray; 1995
C12SUCR,-3.032,-3.469,0.438,[37] Herrington; 1986
C18SUCR,-4.881,-5.292,0.412,[37] Herrington; 1986
C11CONEO,-3.591,-3.585,-0.006,[5] Rosen; 1989
C9CONE3E,-2.463,-2.299,-0.164,[22] Selve; 1991
C9CONE4E,-2.414,-2.193,-0.221,[22] Selve; 1991
C11CONE2,-3.541,-3.398,-0.143,[22] Selve; 1991
C11CONE3,-3.468,-3.292,-0.176,[22] Selve; 1991
C11CONE4,-3.415,-3.611,0.197,[22] Selve; 1991
C12ALAE4,-3.940,-3.413,-0.527,[38] Kuwamura; 1984
C12GLYE4,-3.913,-3.474,-0.439,[38] Kuwamura; 1984
C12SARE4,-3.940,-3.533,-0.407,[38] Kuwamura; 1984
CF6CONE3,-3.328,-3.260,-0.068,[22] Selve; 1991
CF8CONE3,-4.999,-4.921,-0.077,[22] Selve; 1991
CF10CONE,-6.625,-6.523,-0.102,[22] Selve; 1991
CF6SE2,-4.646,-4.602,-0.043,[21] Matos; 1989
CF6SE3,-4.569,-4.553,-0.016,[21] Matos; 1989
CF6SE5,-4.462,-4.432,-0.030,[21] Matos; 1989
CF6SE7,-4.391,-4.319,-0.072,[21] Matos; 1989
CF6SESE2,-4.630,-4.638,0.008,[21] Matos; 1989
CF6SE2SE,-4.571,-4.585,0.014,[21] Matos; 1989
CF6SE3SE,-4.482,-4.469,-0.012,[21] Matos; 1989
